2021   1    6000.000000 GPS G01  -0.694549 1.595923 0.905726 0.452550 x: 13690803.1965703629 -17831358.6835974865 13633468.0892666839, v: -230.1609173700 1776.5840741554 2543.1787878434, clk bias:0.0007874844, clk drift:-0.0000000000, relcorr:0.0000000034 x: 13690803.8911195323 -17831360.2795205936 13633467.1835403182, v: -230.1292137901 1776.6655244324 2543.2539084407, clk bias:0.0007874829, clk drift:-0.0000000000, relcorr:0.0000000035 
2021   1    6000.000000 GPS G02  -0.718528 1.029924 -0.234263 1.112112 x: -14228210.8518904541 -4880944.3035399690 -21233844.8979837187, v: 479.7372108358 -2813.2501445061 315.8720181836, clk bias:-0.0005609238, clk drift:-0.0000000000, relcorr:-0.0000000044 x: -14228210.1333623435 -4880945.3334636278 -21233844.6637209132, v: 479.7435304721 -2813.2788454324 315.8745459381, clk bias:-0.0005609275, clk drift:-0.0000000000, relcorr:-0.0000000044 
2021   1    6000.000000 GPS G03  0.072319 1.447948 0.447862 0.171765 x: 20999489.7515637092 -13168354.2418352030 -9485451.5223573074, v: 1212.9280572171 -117.2676320571 2882.3174634407, clk bias:-0.0000445947, clk drift:-0.0000000000, relcorr:0.0000000072 x: 20999489.6792442910 -13168355.6897833366 -9485451.9702195898, v: 1213.0205941470 -117.2078714434 2882.4394371420, clk bias:-0.0000445953, clk drift:-0.0000000000, relcorr:0.0000000072 
2021   1    6000.000000 GPS G04  -0.608374 0.129508 0.893921 0.968028 x: 12492626.6469302438 -8957151.9351131972 -21659516.7137823924, v: 1926.6619868176 1963.7066267931 294.3625490764, clk bias:-0.0001691014, clk drift:-0.0000000000, relcorr:-0.0000000023 x: 12492627.2553045116 -8957152.0646209065 -21659517.6077028997, v: 1926.6997100426 1963.7489067887 294.3669418844, clk bias:-0.0001691047, clk drift:-0.0000000000, relcorr:-0.0000000023 
2021   1    6000.000000 GPS G05  0.031402 -0.128275 0.200434 0.670206 x: -24967443.9180045910 1520843.2775159199 -9355156.8251172397, v: 1017.7904003354 -614.2836314745 -2844.7886383492, clk bias:-0.0000298122, clk drift:-0.0000000000, relcorr:-0.0000000060 x: -24967443.9494063221 1520843.4057910927 -9355157.0255508646, v: 1017.8196864088 -614.3616201652 -2844.8795788606, clk bias:-0.0000298144, clk drift:-0.0000000000, relcorr:-0.0000000060 
2021   1    6000.000000 GPS G06  0.402146 1.035007 0.380679 0.511969 x: -7179661.7091212450 -19039239.8815534711 -16983201.4929881208, v: 631.3065768384 -2076.2234797515 2057.1829697252, clk bias:-0.0000045881, clk drift:-0.0000000000, relcorr:-0.0000000013 x: -7179662.1112668253 -19039240.9165609069 -16983201.8736667708, v: 631.3646804007 -2076.2982048478 2057.2422521725, clk bias:-0.0000045898, clk drift:-0.0000000000, relcorr:-0.0000000013 
2021   1    6000.000000 GPS G07  -0.796338 -0.150756 -0.003374 0.593643 x: 5753979.0033245981 -25650532.0950549692 678170.7798402982, v: 353.7110579703 36.5234796653 -3186.2554857552, clk bias:0.0000042917, clk drift:0.0000000000, relcorr:0.0000000236 x: 5753979.7996627083 -25650531.9442993775 678170.7832142736, v: 353.8325121844 36.5466117501 -3186.4289140643, clk bias:0.0000042898, clk drift:0.0000000000, relcorr:0.0000000236 
2021   1    6000.000000 GPS G08  -0.789978 0.121791 -0.132663 1.816147 x: 18321524.0040709190 -1310767.6828792896 19300037.2048638612, v: 1733.7680411666 1715.3440293336 -1501.9729604319, clk bias:-0.0000049540, clk drift:-0.0000000000, relcorr:-0.0000000117 x: 18321524.7940485738 -1310767.8046704347 19300037.3375269957, v: 1733.7852171024 1715.3732701462 -1501.9874443099, clk bias:-0.0000049600, clk drift:0.0000000000, relcorr:-0.0000000118 
2021   1    6000.000000 GPS G09  0.325463 1.556061 0.191218 0.490281 x: 859133.8226968721 -18000390.6100431234 -19568178.9852789305, v: 1922.0038331980 1563.6820829595 -1360.4858460067, clk bias:-0.0003078381, clk drift:-0.0000000000, relcorr:-0.0000000028 x: 859133.4972341085 -18000392.1661037840 -19568179.1764971800, v: 1922.0763305174 1563.7186667107 -1360.5163506456, clk bias:-0.0003078397, clk drift:-0.0000000000, relcorr:-0.0000000028 
2021   1    6000.000000 GPS G10  -0.398037 -0.702968 -0.579562 0.255978 x: 6554907.5455022957 13738416.0507239476 21879814.3386107013, v: -2627.3565402273 812.7114447854 252.1452264155, clk bias:-0.0000289973, clk drift:-0.0000000000, relcorr:0.0000000120 x: 6554907.9435393894 13738416.7536917683 21879814.9181722552, v: -2627.4019194096 812.7278254197 252.1488056920, clk bias:-0.0000289982, clk drift:-0.0000000000, relcorr:0.0000000120 
2021   1    6000.000000 GPS G11  -1.650433 -0.386354 -0.816907 -0.210758 x: 13549422.8727029897 -9893553.1612501312 20197687.4801494069, v: 750.7755428931 2574.2489663945 704.4382024888, clk bias:-0.0000655869, clk drift:0.0000000000, relcorr:0.0000000237 x: 13549424.5231356528 -9893552.7748962566 20197688.2970565334, v: 750.8012638517 2574.3093598704 704.4510053301, clk bias:-0.0000655862, clk drift:0.0000000000, relcorr:0.0000000238 
2021   1    6000.000000 GPS G12  -0.467566 -0.549203 0.744921 0.617220 x: -23614723.0082149543 10048992.9201034158 -6757042.9302960178, v: -859.1666825846 -42.1273466886 3063.4589271016, clk bias:0.0000191520, clk drift:-0.0000000000, relcorr:0.0000000186 x: -23614722.5406488888 10048993.4693065099 -6757043.6752167782, v: -859.2233430544 -42.1886834124 3063.5658727574, clk bias:0.0000191499, clk drift:-0.0000000000, relcorr:0.0000000186 
2021   1    6000.000000 GPS G13  1.005696 2.857864 0.755995 -0.256008 x: -20364857.5261288136 -9354849.1746895015 14210323.9098677393, v: -1007.0229794800 -1530.4371330829 -2415.6217496951, clk bias:0.0000810180, clk drift:0.0000000000, relcorr:-0.0000000110 x: -20364858.5318244919 -9354852.0325536132 14210323.1538724191, v: -1007.0331020905 -1530.5360594342 -2415.7017897276, clk bias:0.0000810188, clk drift:0.0000000000, relcorr:-0.0000000111 
2021   1    6000.000000 GPS G14  1.444908 0.724714 -0.720869 0.665548 x: -3510843.2587386332 -14833870.6139371693 21743891.7406832948, v: 2679.0734302265 -675.6401390877 -28.7100382420, clk bias:0.0000772039, clk drift:0.0000000000, relcorr:0.0000000002 x: -3510844.7036469853 -14833871.3386507500 21743892.4615523107, v: 2679.1381445195 -675.6560962506 -28.7104093903, clk bias:0.0000772017, clk drift:0.0000000000, relcorr:0.0000000002 
2021   1    6000.000000 GPS G15  -0.195038 -0.608480 0.021872 0.911835 x: -18011738.3371715173 4150539.7073336812 18840308.7203326114, v: -1880.6609788153 -1605.6882184854 -1381.4885874231, clk bias:-0.0001794125, clk drift:0.0000000000, relcorr:-0.0000000263 x: -18011738.1421333253 4150540.3158137407 18840308.6984603740, v: -1880.7183241362 -1605.7663747629 -1381.5264360165, clk bias:-0.0001794155, clk drift:0.0000000000, relcorr:-0.0000000263 
2021   1    6000.000000 GPS G16  -1.437077 -0.198362 0.798711 0.430195 x: 24980719.2605107874 1576657.1942885164 -9778264.1116459668, v: -1132.9600064953 407.1244473842 -2851.8547381532, clk bias:-0.0002585246, clk drift:-0.0000000000, relcorr:-0.0000000050 x: 24980720.6975873075 1576657.3926504147 -9778264.9103569034, v: -1133.0096708519 407.2123473590 -2851.9672580263, clk bias:-0.0002585260, clk drift:-0.0000000000, relcorr:-0.0000000050 
2021   1    6000.000000 GPS G17  -0.523004 0.464844 0.402318 1.449429 x: -13309329.5354902931 -21731606.2201102339 7941788.3192105331, v: 787.7271938627 557.4413640707 3009.6901278036, clk bias:0.0003744578, clk drift:0.0000000000, relcorr:-0.0000000290 x: -13309329.0124863125 -21731606.6849543117 7941787.9168927949, v: 787.8504329334 557.4217128865 3009.8446057549, clk bias:0.0003744530, clk drift:0.0000000000, relcorr:-0.0000000290 
2021   1    6000.000000 GPS G18  0.851428 -0.953535 0.022968 0.945666 x: -4800363.8145052148 25955916.9397424012 2658349.6232670210, v: -343.2022677496 260.9540794121 -3167.6420914630, clk bias:0.0003376886, clk drift:0.0000000000, relcorr:-0.0000000000 x: -4800364.6659337003 25955917.8932774514 2658349.6002993439, v: -343.3332955341 260.9488109322 -3167.8276556940, clk bias:0.0003376855, clk drift:0.0000000000, relcorr:-0.0000000000 
2021   1    6000.000000 GPS G19  -0.087033 0.095172 1.032641 1.157401 x: -17609912.4115689248 -19943451.3061622046 -394912.5111659823, v: 148.1477815196 -149.1136970883 3214.0413788949, clk bias:-0.0000578540, clk drift:0.0000000000, relcorr:0.0000000201 x: -17609912.3245359026 -19943451.4013339654 -394913.5438067770, v: 148.2314021046 -149.1905278883 3214.2111954440, clk bias:-0.0000578579, clk drift:0.0000000000, relcorr:0.0000000201 
2021   1    6000.000000 GPS G20  1.118079 -1.696880 -0.149989 0.191070 x: -6001718.3838004395 17839756.3052407801 18573784.6528944336, v: -2247.5202066995 831.7035716541 -1546.5168690753, clk bias:0.0005253656, clk drift:-0.0000000000, relcorr:0.0000000089 x: -6001719.5018795989 17839758.0021208487 18573784.8028830327, v: -2247.6377292740 831.7169696383 -1546.5678127368, clk bias:0.0005253650, clk drift:0.0000000000, relcorr:0.0000000089 
2021   1    6000.000000 GPS G21  -1.038106 0.492088 -0.539077 0.232485 x: 15667868.0306184366 -9708392.4434715230 19720334.6691250950, v: -237.0454848972 2354.5306343309 1440.3721148686, clk bias:0.0000827885, clk drift:0.0000000000, relcorr:-0.0000000408 x: 15667869.0687248819 -9708392.9355593715 19720335.2082022429, v: -237.0404368725 2354.5732299632 1440.3884091659, clk bias:0.0000827877, clk drift:0.0000000000, relcorr:-0.0000000408 
2021   1    6000.000000 GPS G22  0.638870 0.421430 0.178543 1.747147 x: 24384042.5720914342 -10284757.4183995444 -400724.4629740267, v: 213.4397418921 325.8458559936 3123.6951515768, clk bias:-0.0007059881, clk drift:0.0000000000, relcorr:-0.0000000134 x: 24384041.9332213476 -10284757.8398294616 -400724.6415167284, v: 213.4845915519 325.9456519110 3123.8426876176, clk bias:-0.0007059940, clk drift:0.0000000000, relcorr:-0.0000000134 
2021   1    6000.000000 GPS G23  0.115995 -1.121006 -0.325943 0.919950 x: -5632821.8119915780 16508319.5768506117 19992959.7357593998, v: -2451.1319953540 693.0808570438 -1264.4532079003, clk bias:0.0001138462, clk drift:0.0000000000, relcorr:0.0000000007 x: -5632821.9279864794 16508320.6978567038 19992960.0617026500, v: -2451.2231909639 693.0879428077 -1264.4846861867, clk bias:0.0001138431, clk drift:0.0000000000, relcorr:0.0000000007 
2021   1    6000.000000 GPS G24  0.448086 -0.669081 -0.824341 0.539437 x: -14722318.5261193085 14093860.1720804069 16588074.7885230128, v: 100.2339674088 -2186.8003802121 1959.0337828097, clk bias:0.0000043272, clk drift:-0.0000000000, relcorr:-0.0000000045 x: -14722318.9742050376 14093860.8411615137 16588075.6128639299, v: 100.2038796227 -2186.9068664133 1959.0975200646, clk bias:0.0000043254, clk drift:-0.0000000000, relcorr:-0.0000000045 
2021   1    6000.000000 GPS G25  -2.143514 -1.963545 2.914776 0.696034 x: -12870799.9598419424 16127645.2056080140 -16815629.9274198785, v: -2061.7912188723 432.3985293854 2049.8126284782, clk bias:0.0000507662, clk drift:0.0000000000, relcorr:0.0000000214 x: -12870797.8163284324 16127647.1691525541 -16815632.8421963640, v: -2061.8610463104 432.3883405357 2049.8557013633, clk bias:0.0000507639, clk drift:0.0000000000, relcorr:0.0000000213 
2021   1    6000.000000 GPS G26  -1.055848 -0.476422 0.355328 0.711558 x: 17999201.8384222426 7645368.5490277698 -18131208.7057569288, v: -2108.4022473886 907.0056824016 -1688.8298273209, clk bias:0.0000231190, clk drift:0.0000000000, relcorr:0.0000000088 x: 17999202.8942702338 7645369.0254501598 -18131209.0610852055, v: -2108.4879693244 907.0775809112 -1688.8848318197, clk bias:0.0000231166, clk drift:0.0000000000, relcorr:0.0000000088 
2021   1    6000.000000 GPS G27  -0.986216 0.300399 -0.922919 0.524909 x: 21971555.1926771514 10536433.0937262885 10838440.5681204256, v: 888.8660819728 1076.1200075832 -2774.3026110897, clk bias:-0.0000467277, clk drift:-0.0000000000, relcorr:-0.0000000177 x: 21971556.1788928434 10536432.7933274657 10838441.4910391048, v: 888.8692267154 1076.2064243780 -2774.3927220830, clk bias:-0.0000467295, clk drift:-0.0000000000, relcorr:-0.0000000178 
